checkpoint_label,checkpoint,sample,split,precision,recall,dice
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y0512_x1792,train,0.952841,0.944257,0.948529
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y0768_x0512,train,0.929493,0.960013,0.944507
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y1024_x0512,val,0.975350,0.799650,0.878804
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y1024_x1792,train,0.803439,0.958346,0.874083
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y1536_x1792,train,0.902637,0.926557,0.914441
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y1792_x2048,train,0.857846,0.965889,0.908667
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_28_y0000_x1280,train,0.931065,0.848926,0.888100
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_29_y0512_x1024,test,0.816626,0.944646,0.875984
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_29_y0768_x0512,train,0.883465,0.930387,0.906319
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_29_y0768_x0768,val,0.831125,0.921642,0.874046
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_29_y1536_x0000,train,0.870895,0.906367,0.888277
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_31_y0512_x0768,train,0.944790,0.935925,0.940337
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_33_y2048_x1024,train,0.847379,0.874143,0.860553
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y0000_x1024,train,0.953980,0.954631,0.954305
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y0256_x0000,train,0.917359,0.926724,0.922018
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y0256_x1536,train,0.944625,0.934631,0.939601
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y0768_x0512,test,0.643355,0.990336,0.779998
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y1024_x0256,train,0.952143,0.946041,0.949082
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y1024_x1024,train,0.975138,0.924749,0.949275
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y1024_x1280,val,0.854417,0.915216,0.883772
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y1024_x1792,train,0.935206,0.940555,0.937873
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y1280_x0512,test,0.869436,0.943602,0.905002
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_26_y1792_x1792,val,0.841055,0.939264,0.887450
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y0512_x1024,train,0.939226,0.946337,0.942768
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y0512_x1280,train,0.937218,0.958478,0.947729
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y0512_x1792,train,0.953833,0.959741,0.956778
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y0768_x0512,train,0.941667,0.955137,0.948354
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y1024_x0512,val,0.966897,0.817334,0.885847
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y1024_x1792,train,0.829162,0.961818,0.890577
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y1536_x1792,train,0.910083,0.931100,0.920472
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_27_y1792_x2048,train,0.893373,0.955102,0.923207
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_28_y0000_x1280,train,0.937391,0.870900,0.902923
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_29_y0512_x1024,test,0.803922,0.944242,0.868450
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_29_y0768_x0512,train,0.879871,0.933612,0.905945
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_29_y0768_x0768,val,0.822171,0.921875,0.869173
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_29_y1536_x0000,train,0.888604,0.892556,0.890576
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_31_y0512_x0768,train,0.939603,0.950938,0.945237
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,YOU_33_y2048_x1024,train,0.861881,0.882916,0.872272
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y0000_x1024,train,0.959536,0.958554,0.959044
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y0256_x0000,train,0.933425,0.925590,0.929491
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y0256_x1536,train,0.958949,0.931230,0.944886
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y0768_x0512,test,0.662950,0.989530,0.793969
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y1024_x0256,train,0.960826,0.943147,0.951904
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y1024_x1024,train,0.980128,0.926161,0.952381
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y1024_x1280,val,0.869218,0.905627,0.887049
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y1024_x1792,train,0.946244,0.936568,0.941381
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y1280_x0512,test,0.889146,0.930665,0.909432
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_26_y1792_x1792,val,0.849446,0.941513,0.893113
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y0512_x1024,train,0.939147,0.950123,0.944604
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y0512_x1280,train,0.946351,0.959631,0.952945
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y0512_x1792,train,0.977518,0.942568,0.959725
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y0768_x0512,train,0.955868,0.950585,0.953219
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y1024_x0512,val,0.973852,0.803342,0.880417
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y1024_x1792,train,0.867865,0.959609,0.911434
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y1536_x1792,train,0.918140,0.934128,0.926065
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_27_y1792_x2048,train,0.905075,0.961808,0.932580
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_28_y0000_x1280,train,0.938583,0.883988,0.910468
